MODE: DFS_LIST_ITERATIVE
From Node 1 to Node 20
2102 (x: 1, y: 42, z: 0)
2052 (x: 1, y: 41, z: 0)
2053 (x: 2, y: 41, z: 0)
2054 (x: 3, y: 41, z: 0)
2055 (x: 4, y: 41, z: 0)
2056 (x: 5, y: 41, z: 0)
2057 (x: 6, y: 41, z: 0)
2058 (x: 7, y: 41, z: 0)
2059 (x: 8, y: 41, z: 0)
2060 (x: 9, y: 41, z: 0)
2061 (x: 10, y: 41, z: 0)
2062 (x: 11, y: 41, z: 0)
2063 (x: 12, y: 41, z: 0)
2064 (x: 13, y: 41, z: 0)
2065 (x: 14, y: 41, z: 0)
2066 (x: 15, y: 41, z: 0)
2067 (x: 16, y: 41, z: 0)
2068 (x: 17, y: 41, z: 0)
2069 (x: 18, y: 41, z: 0)
2070 (x: 19, y: 41, z: 0)
2071 (x: 20, y: 41, z: 0)
2072 (x: 21, y: 41, z: 0)
2073 (x: 22, y: 41, z: 0)
2074 (x: 23, y: 41, z: 0)
2075 (x: 24, y: 41, z: 0)
2076 (x: 25, y: 41, z: 0)
2077 (x: 26, y: 41, z: 0)
2078 (x: 27, y: 41, z: 0)
2079 (x: 28, y: 41, z: 0)
2080 (x: 29, y: 41, z: 0)
2081 (x: 30, y: 41, z: 0)
2082 (x: 31, y: 41, z: 0)
2083 (x: 32, y: 41, z: 0)
2084 (x: 33, y: 41, z: 0)
2085 (x: 34, y: 41, z: 0)
2086 (x: 35, y: 41, z: 0)
2087 (x: 36, y: 41, z: 0)
2088 (x: 37, y: 41, z: 0)
2089 (x: 38, y: 41, z: 0)
2090 (x: 39, y: 41, z: 0)
2091 (x: 40, y: 41, z: 0)
2092 (x: 41, y: 41, z: 0)
2093 (x: 42, y: 41, z: 0)
2094 (x: 43, y: 41, z: 0)
2095 (x: 44, y: 41, z: 0)
2096 (x: 45, y: 41, z: 0)
2097 (x: 46, y: 41, z: 0)
2098 (x: 47, y: 41, z: 0)
2099 (x: 48, y: 41, z: 0)
2100 (x: 49, y: 41, z: 0)
2050 (x: 49, y: 40, z: 0)
2049 (x: 48, y: 40, z: 0)
2048 (x: 47, y: 40, z: 0)
2047 (x: 46, y: 40, z: 0)
2046 (x: 45, y: 40, z: 0)
2045 (x: 44, y: 40, z: 0)
2044 (x: 43, y: 40, z: 0)
2043 (x: 42, y: 40, z: 0)
2042 (x: 41, y: 40, z: 0)
2041 (x: 40, y: 40, z: 0)
2040 (x: 39, y: 40, z: 0)
2039 (x: 38, y: 40, z: 0)
2038 (x: 37, y: 40, z: 0)
2037 (x: 36, y: 40, z: 0)
2036 (x: 35, y: 40, z: 0)
2035 (x: 34, y: 40, z: 0)
2034 (x: 33, y: 40, z: 0)
2033 (x: 32, y: 40, z: 0)
2032 (x: 31, y: 40, z: 0)
2031 (x: 30, y: 40, z: 0)
2030 (x: 29, y: 40, z: 0)
2029 (x: 28, y: 40, z: 0)
2028 (x: 27, y: 40, z: 0)
2027 (x: 26, y: 40, z: 0)
2026 (x: 25, y: 40, z: 0)
2025 (x: 24, y: 40, z: 0)
2024 (x: 23, y: 40, z: 0)
2023 (x: 22, y: 40, z: 0)
2022 (x: 21, y: 40, z: 0)
2021 (x: 20, y: 40, z: 0)
2020 (x: 19, y: 40, z: 0)
2019 (x: 18, y: 40, z: 0)
2018 (x: 17, y: 40, z: 0)
2017 (x: 16, y: 40, z: 0)
2016 (x: 15, y: 40, z: 0)
2015 (x: 14, y: 40, z: 0)
2014 (x: 13, y: 40, z: 0)
2013 (x: 12, y: 40, z: 0)
2012 (x: 11, y: 40, z: 0)
2011 (x: 10, y: 40, z: 0)
2010 (x: 9, y: 40, z: 0)
2009 (x: 8, y: 40, z: 0)
2008 (x: 7, y: 40, z: 0)
2007 (x: 6, y: 40, z: 0)
2006 (x: 5, y: 40, z: 0)
2005 (x: 4, y: 40, z: 0)
2004 (x: 3, y: 40, z: 0)
2003 (x: 2, y: 40, z: 0)
2002 (x: 1, y: 40, z: 0)
1952 (x: 1, y: 39, z: 0)
1953 (x: 2, y: 39, z: 0)
1954 (x: 3, y: 39, z: 0)
1955 (x: 4, y: 39, z: 0)
1956 (x: 5, y: 39, z: 0)
1957 (x: 6, y: 39, z: 0)
1958 (x: 7, y: 39, z: 0)
1959 (x: 8, y: 39, z: 0)
1960 (x: 9, y: 39, z: 0)
1961 (x: 10, y: 39, z: 0)
1962 (x: 11, y: 39, z: 0)
1963 (x: 12, y: 39, z: 0)
1964 (x: 13, y: 39, z: 0)
1965 (x: 14, y: 39, z: 0)
1966 (x: 15, y: 39, z: 0)
1967 (x: 16, y: 39, z: 0)
1968 (x: 17, y: 39, z: 0)
1969 (x: 18, y: 39, z: 0)
1970 (x: 19, y: 39, z: 0)
1971 (x: 20, y: 39, z: 0)
1972 (x: 21, y: 39, z: 0)
1973 (x: 22, y: 39, z: 0)
1974 (x: 23, y: 39, z: 0)
1975 (x: 24, y: 39, z: 0)
1976 (x: 25, y: 39, z: 0)
1977 (x: 26, y: 39, z: 0)
1978 (x: 27, y: 39, z: 0)
1979 (x: 28, y: 39, z: 0)
1980 (x: 29, y: 39, z: 0)
1981 (x: 30, y: 39, z: 0)
1982 (x: 31, y: 39, z: 0)
1983 (x: 32, y: 39, z: 0)
1984 (x: 33, y: 39, z: 0)
1985 (x: 34, y: 39, z: 0)
1986 (x: 35, y: 39, z: 0)
1987 (x: 36, y: 39, z: 0)
1988 (x: 37, y: 39, z: 0)
1989 (x: 38, y: 39, z: 0)
1990 (x: 39, y: 39, z: 0)
1991 (x: 40, y: 39, z: 0)
1992 (x: 41, y: 39, z: 0)
1993 (x: 42, y: 39, z: 0)
1994 (x: 43, y: 39, z: 0)
1995 (x: 44, y: 39, z: 0)
1996 (x: 45, y: 39, z: 0)
1997 (x: 46, y: 39, z: 0)
1998 (x: 47, y: 39, z: 0)
1999 (x: 48, y: 39, z: 0)
2000 (x: 49, y: 39, z: 0)
1950 (x: 49, y: 38, z: 0)
1949 (x: 48, y: 38, z: 0)
1948 (x: 47, y: 38, z: 0)
1947 (x: 46, y: 38, z: 0)
1946 (x: 45, y: 38, z: 0)
1945 (x: 44, y: 38, z: 0)
1944 (x: 43, y: 38, z: 0)
1943 (x: 42, y: 38, z: 0)
1942 (x: 41, y: 38, z: 0)
1941 (x: 40, y: 38, z: 0)
1940 (x: 39, y: 38, z: 0)
1939 (x: 38, y: 38, z: 0)
1938 (x: 37, y: 38, z: 0)
1937 (x: 36, y: 38, z: 0)
1936 (x: 35, y: 38, z: 0)
1935 (x: 34, y: 38, z: 0)
1934 (x: 33, y: 38, z: 0)
1933 (x: 32, y: 38, z: 0)
1932 (x: 31, y: 38, z: 0)
1931 (x: 30, y: 38, z: 0)
1930 (x: 29, y: 38, z: 0)
1929 (x: 28, y: 38, z: 0)
1928 (x: 27, y: 38, z: 0)
1927 (x: 26, y: 38, z: 0)
1926 (x: 25, y: 38, z: 0)
1925 (x: 24, y: 38, z: 0)
1924 (x: 23, y: 38, z: 0)
1923 (x: 22, y: 38, z: 0)
1922 (x: 21, y: 38, z: 0)
1921 (x: 20, y: 38, z: 0)
1920 (x: 19, y: 38, z: 0)
1919 (x: 18, y: 38, z: 0)
1918 (x: 17, y: 38, z: 0)
1917 (x: 16, y: 38, z: 0)
1916 (x: 15, y: 38, z: 0)
1915 (x: 14, y: 38, z: 0)
1914 (x: 13, y: 38, z: 0)
1913 (x: 12, y: 38, z: 0)
1912 (x: 11, y: 38, z: 0)
1911 (x: 10, y: 38, z: 0)
1910 (x: 9, y: 38, z: 0)
